date,channel,net_revenue,gross_revenue,order_count,item_quantity,gross_profit,discount_amount
2024-01-15,Lazada,10490254,12059698,21,21,2452238,528217
2024-01-15,TikTok Shop,13844813,15829133,51,51,3709399,583858
2024-01-15,Website,8113246,8874418,28,84,2031184,460026
2024-01-16,Shopee,15982428,16794053,33,99,3355317,955802
2024-01-16,Lazada,10658380,11473177,39,39,2709804,312577
2024-01-16,TikTok Shop,11554886,12831505,33,99,2476074,707735
2024-01-16,Website,6224288,6850084,18,36,1683879,440469
2024-01-17,Shopee,18622433,20734746,74,148,3434138,745147
2024-01-17,Lazada,12683264,14125495,47,94,2487926,589900
2024-01-17,TikTok Shop,13216795,14618974,31,31,2478471,964646
2024-01-17,Website,8147723,8999641,29,58,1941203,235352
2024-01-18,Shopee,17715304,18675171,66,132,4781328,1200519
2024-01-18,Lazada,10069791,11478479,45,45,2499389,604349
2024-01-18,TikTok Shop,13918783,15700549,36,72,3860844,904285
2024-01-18,Website,8619483,9795702,26,26,2311242,185208
2024-01-19,Shopee,21990751,24810815,58,116,5722510,1579900
2024-01-19,Lazada,16863718,18156837,51,153,3217759,1219753
2024-01-19,TikTok Shop,11897782,12757318,26,52,2557617,823709
2024-01-19,Website,10398846,11150604,32,96,2072625,412790
2024-01-20,Shopee,22330192,25605784,94,188,4803551,1129111
2024-01-20,Lazada,13696975,14835399,28,28,2623439,1071433
2024-01-20,TikTok Shop,17554973,19451945,59,118,3227055,979467
2024-01-20,Website,7212202,8098254,18,36,1612933,570155
2024-01-21,Shopee,21530087,23435921,82,246,4284657,487941
2024-01-21,Lazada,14824684,15568426,34,102,3686687,1132840
2024-01-21,TikTok Shop,20455820,22223656,67,67,5623048,1539224
2024-01-21,Website,8887602,9921575,24,24,2239457,337901
2024-01-22,Shopee,15369184,17162603,42,84,3384910,580022
2024-01-22,Lazada,10282938,10994353,38,114,2817899,623548
2024-01-22,TikTok Shop,14842278,16497956,50,100,3274318,1039308
2024-01-22,Website,7582269,8178928,21,42,1960592,427638
2024-01-23,Shopee,15948318,17487312,43,86,3948209,808108
2024-01-23,Lazada,11622841,12969755,40,80,2691213,673851
2024-01-23,TikTok Shop,13537385,14340676,36,36,3347519,453211
2024-01-23,Website,8147417,8674843,26,26,1666018,395216
2024-01-24,Shopee,15605815,17096820,65,195,3707428,984739
2024-01-24,Lazada,10524496,11571027,26,26,2049721,644703
2024-01-24,TikTok Shop,12759722,14390951,49,49,2521177,988597
2024-01-24,Website,6020846,6601587,12,36,1233791,426879
2024-01-25,Shopee,17657933,18776279,40,80,4357232,1399807
2024-01-25,Lazada,11305403,12944731,30,60,2727601,714009
2024-01-25,TikTok Shop,13406221,14648630,28,84,3010921,396147
2024-01-25,Website,7102276,7777042,15,15,1874904,260218
2024-01-26,Shopee,18413887,20226913,38,38,3820140,453884
2024-01-26,Lazada,13539598,14534073,38,76,2870002,709599
2024-01-26,TikTok Shop,16711380,17799008,61,122,4167734,1042542
2024-01-26,Website,8591052,9377020,36,72,2012549,386137
2024-01-27,Shopee,21765334,24666416,70,140,5887171,1198068
2024-01-27,Lazada,14959957,16989622,71,213,3261841,304491
2024-01-27,TikTok Shop,21386000,23093913,55,110,5674664,1651124
2024-01-27,Website,9711372,10719627,23,69,2278416,545732
2024-01-28,Shopee,22894928,25157473,72,144,5118930,497770
2024-01-28,Lazada,14149382,15803266,37,74,3571561,996546
2024-01-28,TikTok Shop,13431766,15420637,50,150,2453939,586179
2024-01-28,Website,9487667,10591083,19,19,2317600,267002
2024-01-29,Shopee,17217549,18391319,38,76,3751883,563007
2024-01-29,Lazada,14237228,15429597,38,76,2958861,1097295
2024-01-29,TikTok Shop,13120968,14108021,31,31,2978862,852095
2024-01-29,Website,7591096,8729691,33,66,1536607,183075
2024-01-30,Shopee,17033253,19169620,77,77,3405562,361493
2024-01-30,Lazada,9453691,10151889,33,66,2334550,508969
2024-01-30,TikTok Shop,15282292,16757085,48,96,3922809,459498
2024-01-30,Website,7991945,9013150,30,30,2209550,211674
2024-01-31,Shopee,18739621,21417302,87,261,4642455,1452140
2024-01-31,Lazada,9801836,11214742,24,24,1838821,602194
2024-01-31,TikTok Shop,15711189,16656848,47,94,4163926,880215
2024-01-31,Website,6101091,6891931,23,69,1575689,249121
2024-02-01,Shopee,12221018,13640515,28,28,2818119,494632
2024-02-01,Lazada,9268722,10494354,22,22,2070191,386796
2024-02-01,TikTok Shop,7904227,8858511,17,34,1561984,405525
2024-02-01,Website,4560493,5069404,13,39,1174163,218413
2024-02-02,Shopee,15028793,16264618,44,44,3953671,378722
2024-02-02,Lazada,8970386,9637660,20,40,2125847,539042
2024-02-02,TikTok Shop,9497474,9999606,25,50,1882247,310826
2024-02-02,Website,6417167,6956426,19,57,1605051,234715
2024-02-03,Shopee,12965962,14284117,63,63,2444879,819507
2024-02-03,Lazada,10095960,11161262,22,22,2514509,593180
2024-02-03,TikTok Shop,10387732,11372670,22,22,1966453,345868
2024-02-03,Website,7553228,8162174,23,69,1638311,401895
2024-02-04,Shopee,13471819,14718641,35,105,3166401,553808
2024-02-04,Lazada,9189474,9897905,20,40,1865958,581483
2024-02-04,TikTok Shop,12823628,13618122,35,105,3527623,787497
2024-02-04,Website,5431343,5820436,18,36,1127818,300762
2024-02-05,Shopee,11757393,13046934,24,24,3095285,444133
2024-02-05,Lazada,8511576,9089888,21,21,2134719,234877
2024-02-05,TikTok Shop,7257865,8327888,32,96,1518444,556282
2024-02-05,Website,5013675,5315793,10,10,1190279,241478
2024-02-06,Shopee,11809141,12801943,27,27,2423801,846755
2024-02-06,Lazada,8052694,9117353,30,60,1845473,439848
2024-02-06,TikTok Shop,7662390,8161769,33,99,2106487,192409
2024-02-06,Website,4130304,4385743,12,24,993882,278566
2024-02-07,Shopee,12176711,13730087,38,76,2740387,566987
2024-02-07,Lazada,7629029,8243455,17,51,1419175,592062
2024-02-07,TikTok Shop,9274137,10616653,36,36,2249456,332745
2024-02-07,Website,5115169,5451265,21,21,1203084,150345
2024-02-08,Shopee,10530340,11531253,25,75,2390295,231229
2024-02-08,Lazada,7576433,8490875,21,63,2015033,183886
2024-02-08,TikTok Shop,9325835,10653751,28,84,2228678,636342
2024-02-08,Website,4492761,4908404,14,42,909699,130018
2024-02-09,Shopee,18254241,20675905,53,53,3394628,1233215
2024-02-09,Lazada,10133332,11573473,20,40,1950011,621383
2024-02-09,TikTok Shop,10043565,11492526,24,72,2350176,464671
2024-02-09,Website,6895711,7853817,31,93,1463492,241502
2024-02-10,Shopee,13178462,14139072,53,159,3473788,718384
2024-02-10,Lazada,10500155,12074729,49,147,2752533,573044
2024-02-10,TikTok Shop,13356283,14652511,45,135,2994785,490034
2024-02-10,Website,5766110,6420439,13,26,1596668,277930
2024-02-11,Shopee,16659443,18047688,40,120,3172957,493944
2024-02-11,Lazada,10075366,11278036,24,48,2481143,443590
2024-02-11,TikTok Shop,12890593,13582427,26,26,2725738,507843
2024-02-11,Website,7856614,8928972,19,19,1930889,412909
2024-02-12,Shopee,11155541,11773786,26,78,2411582,729423
2024-02-12,Lazada,6720677,7567476,15,15,1389202,187243
2024-02-12,TikTok Shop,8067015,8823795,22,66,1843081,175314
2024-02-12,Website,4443758,4981356,13,26,1044656,236119
2024-02-13,Shopee,11394590,12220357,45,45,2576827,308201
2024-02-13,Lazada,7696177,8464544,27,81,1609934,479662
2024-02-13,TikTok Shop,9336538,10582708,22,44,1908137,495545
2024-02-13,Website,5418262,5792453,13,39,1250665,394230
2024-02-14,Shopee,11525955,12420654,48,96,2466411,775271
2024-02-14,Lazada,8688389,9835734,25,50,2194731,610347
2024-02-14,TikTok Shop,8754837,9950100,19,38,2047389,356387
2024-02-14,Website,6541905,7368064,13,26,1475425,257140
2024-02-15,Shopee,12379547,14212679,41,41,2936178,421075
2024-02-15,Lazada,6641087,7002128,15,45,1509503,496792
2024-02-15,TikTok Shop,7884832,8583490,19,57,2044059,466160
2024-02-15,Website,5220720,5740353,18,18,1005639,406805
2024-02-16,Shopee,14576941,16573545,38,76,2769199,1087826
2024-02-16,Lazada,10454122,11732080,50,100,2792226,817485
2024-02-16,TikTok Shop,12437238,13643017,51,102,2659780,765665
2024-02-16,Website,6363298,7223466,26,78,1692219,272353
2024-02-17,Shopee,13464721,14981925,36,72,3598289,298297
2024-02-17,Lazada,7883493,8462748,33,99,2145042,629462
2024-02-17,TikTok Shop,11145068,12185986,45,45,2853549,693596
2024-02-17,Website,7083409,7751855,28,84,1487138,153971
2024-02-18,Shopee,15382087,17375826,41,82,3320167,705133
2024-02-18,Lazada,8199610,9045126,24,72,2034979,252576
2024-02-18,TikTok Shop,12028075,12724463,41,82,2910446,414365
2024-02-18,Website,6724381,7216733,24,72,1381173,237502
2024-02-19,Shopee,10318716,11762210,50,100,2787301,625899
2024-02-19,Lazada,7557386,7991076,26,52,2106736,286797
2024-02-19,TikTok Shop,9132851,10219946,21,42,2415917,291822
2024-02-19,Website,4268487,4846157,10,10,869579,231844
2024-02-20,Shopee,12045893,13843974,33,66,2194689,840830
2024-02-20,Lazada,7924659,8538408,19,57,2111975,528564
2024-02-20,TikTok Shop,10254443,11700952,45,135,2355166,761385
2024-02-20,Website,5575958,6287306,15,15,1342169,229391
2024-02-21,Shopee,9646393,10727649,32,96,2465210,637127
2024-02-21,Lazada,6593391,7337290,24,72,1612968,254083
2024-02-21,TikTok Shop,9641713,10155968,22,44,2441629,244977
2024-02-21,Website,5258374,5693094,14,28,1038865,146864
2024-02-22,Shopee,12278721,13968839,25,50,2861989,918562
2024-02-22,Lazada,10870945,11693843,37,74,3008408,409927
2024-02-22,TikTok Shop,9708453,10974661,25,50,2682342,276161
2024-02-22,Website,5631344,6397286,17,51,1393423,246905
2024-02-23,Shopee,16764346,18215761,34,68,3040916,875004
2024-02-23,Lazada,10425928,11331509,23,69,2577645,574193
2024-02-23,TikTok Shop,11371812,12063612,28,28,2583081,650158
2024-02-23,Website,7033842,7616248,14,42,1421798,167356
2024-02-24,Shopee,13655548,15580144,30,60,3344571,368707
2024-02-24,Lazada,9400928,10760548,42,84,2628431,253517
2024-02-24,TikTok Shop,11137305,12682338,34,34,2437562,470670
2024-02-24,Website,6513976,7112693,13,39,1645821,476333
2024-02-25,Shopee,19243690,21810207,76,228,4249230,1483521
2024-02-25,Lazada,7512343,8406522,34,34,1685306,578701
2024-02-25,TikTok Shop,12807733,13575370,32,96,2775865,949076
2024-02-25,Website,5205387,5497175,13,26,1035772,142261
2024-02-26,Shopee,10935524,11582550,24,24,2670132,610517
2024-02-26,Lazada,8425783,8889689,39,78,1721867,232176
2024-02-26,TikTok Shop,9178255,9825511,18,54,1842220,302489
2024-02-26,Website,4325492,4683884,13,13,1119716,241185
2024-02-27,Shopee,10603383,12043753,30,30,2955722,555754
2024-02-27,Lazada,8064590,8556471,27,27,1557920,334636
2024-02-27,TikTok Shop,8314756,9220111,25,25,1641538,192436
2024-02-27,Website,5100122,5623438,12,36,950437,239178
2024-02-28,Shopee,11669469,12851864,29,29,2627971,388511
2024-02-28,Lazada,6877609,7721659,30,90,1596603,326566
2024-02-28,TikTok Shop,11465075,12108066,52,104,3035148,522537
2024-02-28,Website,5352374,5882402,20,40,1002762,132993
2024-02-29,Shopee,8790842,9288125,31,62,2131179,484568
2024-02-29,Lazada,7632537,8304891,20,60,1778806,360431
2024-02-29,TikTok Shop,8399884,8903186,19,57,1608086,497968
2024-02-29,Website,5486107,6155873,11,11,1223440,402052
2024-03-01,Shopee,13669382,14816149,32,64,3005528,871789
2024-03-01,Lazada,9577295,10464885,26,78,1968029,739516
2024-03-01,TikTok Shop,12588243,13302164,28,28,2383244,324699
2024-03-01,Website,7146588,8084055,18,54,1329252,553128
2024-03-02,Shopee,12937988,14011383,26,26,2860342,936923
2024-03-02,Lazada,9326814,10602808,22,66,1726809,347496
2024-03-02,TikTok Shop,11199287,12153070,30,90,2584138,327958
2024-03-02,Website,5970036,6402413,13,13,1283626,318656
2024-03-03,Shopee,18328330,20642475,70,210,3713611,838461
2024-03-03,Lazada,10195202,11698532,20,60,2460687,597051
2024-03-03,TikTok Shop,10085285,11203737,47,141,2651886,363543
2024-03-03,Website,7195728,7752152,24,48,1958344,295467
2024-03-04,Shopee,14605482,16606233,49,147,3589070,353089
2024-03-04,Lazada,8410674,8908383,38,114,1694863,380078
2024-03-04,TikTok Shop,7478870,7970538,19,38,1885869,498169
2024-03-04,Website,4699099,5214225,9,9,918946,306692
2024-03-05,Shopee,13418838,14994167,59,118,3009997,609764
2024-03-05,Lazada,6852117,7478526,15,15,1750677,183836
2024-03-05,TikTok Shop,9639420,10228283,22,66,2389117,474240
2024-03-05,Website,5456037,5753619,15,30,1519204,127054
2024-03-06,Shopee,10358595,11188753,33,33,2659413,682110
2024-03-06,Lazada,7438981,8055019,21,21,1709021,340998
2024-03-06,TikTok Shop,5595671,6088206,20,60,1135983,299499
2024-03-06,Website,4380982,4631607,11,33,807109,92546
2024-03-07,Shopee,11308546,12848894,46,138,2520996,500577
2024-03-07,Lazada,6374444,6877716,15,30,1160695,251702
2024-03-07,TikTok Shop,10957934,12417559,24,48,2069000,774387
2024-03-07,Website,4140258,4527653,12,24,962181,181120
2024-03-08,Shopee,14368659,16158713,39,39,3064934,432324
2024-03-08,Lazada,9904947,11027400,21,63,2287995,736486
2024-03-08,TikTok Shop,13980483,15170362,36,108,3655948,477799
2024-03-08,Website,5381104,5787898,19,19,1292756,353070
2024-03-09,Shopee,17297452,18468742,72,216,3968238,1128948
2024-03-09,Lazada,9769782,10923724,22,66,2386750,773688
2024-03-09,TikTok Shop,10521520,11956915,28,84,2226500,488049
2024-03-09,Website,6865929,7512842,15,30,1782622,380957
2024-03-10,Shopee,15550696,17117175,40,80,3517167,346103
2024-03-10,Lazada,9060413,10266985,23,23,2214969,712530
2024-03-10,TikTok Shop,12033307,13375031,48,144,2628655,659663
2024-03-10,Website,6208135,6797742,28,84,1522134,243928
2024-03-11,Shopee,11849242,13035786,26,26,2666699,813545
2024-03-11,Lazada,8112109,9314637,21,21,1869475,246231
2024-03-11,TikTok Shop,10933108,12253414,33,66,2540929,618686
2024-03-11,Website,4265825,4638169,10,20,933114,283540
2024-03-12,Shopee,14691011,16585016,64,192,3136016,584430
2024-03-12,Lazada,5758053,6436570,11,22,1181550,409363
2024-03-12,TikTok Shop,9023102,9775053,32,96,2222942,676776
2024-03-12,Website,5366908,6154607,14,42,1321405,148862
2024-03-13,Shopee,12098647,13078132,49,98,2956296,480420
2024-03-13,Lazada,6961777,7776386,26,78,1947323,520371
2024-03-13,TikTok Shop,8966333,9993897,36,72,2069868,189134
2024-03-13,Website,4719253,5040286,13,13,1010738,311326
2024-03-14,Shopee,10882754,11673433,36,36,2127519,410797
2024-03-14,Lazada,8296048,9132032,32,96,2186108,605785
2024-03-14,TikTok Shop,9595709,10710663,43,129,1852979,408808
2024-03-14,Website,4601674,4914978,16,48,1183136,315411
2024-03-15,Shopee,16877876,18938973,58,58,3731460,1022492
2024-03-15,Lazada,10154022,11646246,31,93,2117040,659120
2024-03-15,TikTok Shop,13136607,14100838,30,30,2771125,900087
2024-03-15,Website,7021871,8007724,15,15,1522230,539475
2024-03-16,Shopee,13726185,15046205,31,62,3538781,688703
2024-03-16,Lazada,9140061,10480239,21,21,2377567,258699
2024-03-16,TikTok Shop,13050223,13770830,39,78,3489782,695217
2024-03-16,Website,7010969,7860279,27,81,1858724,260133
2024-03-17,Shopee,15213346,16389020,53,159,2962569,703592
2024-03-17,Lazada,9942642,11251793,31,62,2714810,446363
2024-03-17,TikTok Shop,13820692,15205536,33,33,3021433,344084
2024-03-17,Website,6072390,6393126,19,19,1602611,358257
2024-03-18,Shopee,12509685,13307302,45,90,3399377,604809
2024-03-18,Lazada,7363398,8290333,26,52,1655735,149588
2024-03-18,TikTok Shop,8982566,9448765,37,37,2366873,475432
2024-03-18,Website,5694354,6220087,11,22,1160304,155518
2024-03-19,Shopee,12909441,14096884,39,117,2913807,344056
2024-03-19,Lazada,8288137,9197130,17,17,2015638,451727
2024-03-19,TikTok Shop,10674792,11519458,38,38,2577759,367574
2024-03-19,Website,5046688,5393554,12,36,951611,396060
2024-03-20,Shopee,12714799,14562773,53,159,2933721,1008282
2024-03-20,Lazada,7274194,7652695,14,28,1341023,314339
2024-03-20,TikTok Shop,9593722,10316753,24,24,2069456,230763
2024-03-20,Website,4958336,5569670,15,45,943901,272283
2024-03-21,Shopee,11896881,12650441,31,62,2791025,818631
2024-03-21,Lazada,8099926,9177527,27,81,1834328,499955
2024-03-21,TikTok Shop,8332757,9425596,28,28,2096559,638425
2024-03-21,Website,6305476,6805779,28,28,1633818,461229
2024-03-22,Shopee,13450402,15378344,36,108,2956700,927060
2024-03-22,Lazada,8401032,9033893,18,54,1672732,347958
2024-03-22,TikTok Shop,13689491,15559199,60,120,2838128,930345
2024-03-22,Website,7178707,8176179,16,48,1607841,555551
2024-03-23,Shopee,16452548,18877199,43,86,4100088,691679
2024-03-23,Lazada,10581628,11392943,22,22,2674063,261743
2024-03-23,TikTok Shop,12008626,13264097,40,80,2284759,476445
2024-03-23,Website,5853503,6325585,16,48,1473715,175597
2024-03-24,Shopee,15454616,16770650,35,35,3905095,1154405
2024-03-24,Lazada,9045506,9746131,21,21,1696070,526908
2024-03-24,TikTok Shop,13441537,14803280,34,102,3332709,1037248
2024-03-24,Website,6447871,7317476,23,69,1664397,142420
2024-03-25,Shopee,10620285,11401933,45,135,2300703,456367
2024-03-25,Lazada,7285745,7673627,14,14,1806181,560488
2024-03-25,TikTok Shop,9720949,10638547,24,24,2307677,503230
2024-03-25,Website,4710248,5093843,11,22,965418,126267
2024-03-26,Shopee,10631229,11693336,35,70,2884829,287741
2024-03-26,Lazada,7804231,8743890,23,23,2182348,289807
2024-03-26,TikTok Shop,9539927,10207892,20,20,2530777,449546
2024-03-26,Website,4747488,5458312,10,30,1313896,375975
2024-03-27,Shopee,11134897,12481708,29,87,2607984,818191
2024-03-27,Lazada,7798268,8743269,27,81,1900984,527333
2024-03-27,TikTok Shop,7661630,8216517,16,16,1985945,262060
2024-03-27,Website,4203726,4424961,9,27,997240,201965
2024-03-28,Shopee,10790907,11470487,22,22,2013311,473609
2024-03-28,Lazada,7397054,8155767,16,32,1940498,180673
2024-03-28,TikTok Shop,9624671,10724134,26,52,2180790,491259
2024-03-28,Website,5957013,6777866,22,66,1453388,184178
2024-03-29,Shopee,16941721,18521736,63,63,4458029,865487
2024-03-29,Lazada,9685277,10329015,26,52,2648669,324730
2024-03-29,TikTok Shop,12041659,13721381,25,25,2469269,699662
2024-03-29,Website,5791218,6239719,11,33,1217792,301194
2024-03-30,Shopee,15335755,17085545,33,99,4204461,448596
2024-03-30,Lazada,9538394,10818952,25,75,1756204,685113
2024-03-30,TikTok Shop,12544021,13228250,51,153,3225096,450071
2024-03-30,Website,5933214,6684927,19,38,1434715,129446
2024-03-31,Shopee,16337444,17627565,33,66,3729748,1115542
2024-03-31,Lazada,11704911,12638300,28,28,2912900,345117
2024-03-31,TikTok Shop,11925796,13099593,28,28,2552350,341318
2024-03-31,Website,6908722,7761396,18,36,1917429,192380
2024-04-01,Shopee,12817308,14118239,32,32,2716136,615082
2024-04-01,Lazada,7243130,7930934,21,21,1373885,270985
2024-04-01,TikTok Shop,9550601,10853459,23,46,1956221,686864
2024-04-01,Website,5080666,5748000,17,51,1280901,159482
2024-04-02,Shopee,11982825,13179029,42,126,2716285,871685
2024-04-02,Lazada,6907716,7269112,14,28,1592536,538810
2024-04-02,TikTok Shop,9333371,10344496,29,29,1727178,463809
2024-04-02,Website,5379341,5802022,12,12,1424004,246673
2024-04-03,Shopee,13914700,15622741,41,82,3013837,612732
2024-04-03,Lazada,8495485,9397549,17,34,1999177,207391
2024-04-03,TikTok Shop,11717423,12830993,25,75,2436897,929724
2024-04-03,Website,4611317,4901214,17,17,1011679,312158
2024-04-04,Shopee,13099277,14484961,34,68,3346820,418436
2024-04-04,Lazada,7790714,8492959,16,16,1437623,219871
2024-04-04,TikTok Shop,11765287,13299441,31,93,2655412,663275
2024-04-04,Website,4589067,4882667,9,27,972208,199979
2024-04-05,Shopee,13870225,15387246,38,114,3645497,720425
2024-04-05,Lazada,9202539,9938549,18,18,1995440,556095
2024-04-05,TikTok Shop,9030447,10009079,21,63,2413025,521559
2024-04-05,Website,6193440,6667566,13,39,1599706,412296
2024-04-06,Shopee,14027662,15741001,43,129,3198936,721778
2024-04-06,Lazada,10100658,10754954,25,75,2062753,549013
2024-04-06,TikTok Shop,12623712,13495739,49,98,2668265,367172
2024-04-06,Website,8103569,8841300,26,78,2204593,586448
2024-04-07,Shopee,17203953,19278363,73,219,3453421,679607
2024-04-07,Lazada,9240188,10187748,20,40,2547229,439646
2024-04-07,TikTok Shop,10825435,11737291,22,44,2680235,780073
2024-04-07,Website,7008980,7787031,20,20,1932612,257513
2024-04-08,Shopee,10002925,10728004,28,56,2571926,623123
2024-04-08,Lazada,9320301,10081808,20,40,2200046,708987
2024-04-08,TikTok Shop,10660775,11500619,31,93,2640271,456086
2024-04-08,Website,4807202,5440973,11,11,1004923,179106
2024-04-09,Shopee,9448083,10247734,39,78,2320423,612617
2024-04-09,Lazada,8887624,9511595,28,84,1840745,477453
2024-04-09,TikTok Shop,9216062,9803377,26,78,2341701,316636
2024-04-09,Website,5854098,6538930,25,75,1185848,198865
2024-04-10,Shopee,9623157,10502042,38,114,2186770,585776
2024-04-10,Lazada,7099774,7458441,26,78,1972254,209276
2024-04-10,TikTok Shop,9355883,10270373,20,20,2391281,348364
2024-04-10,Website,5128752,5716455,14,14,1257723,174035
2024-04-11,Shopee,11263928,12855780,51,51,2498210,791362
2024-04-11,Lazada,8226613,9458278,37,74,2129015,256495
2024-04-11,TikTok Shop,8156925,9279924,23,23,1711643,458150
2024-04-11,Website,5015812,5409334,13,39,1175356,248959
2024-04-12,Shopee,15711780,17834535,58,116,3256796,1076710
2024-04-12,Lazada,10571354,11271700,28,56,2588169,667220
2024-04-12,TikTok Shop,13208483,14841867,63,126,3127480,864323
2024-04-12,Website,5741982,6379890,19,57,1548637,399753
2024-04-13,Shopee,12644345,13691204,26,52,3122212,393073
2024-04-13,Lazada,11490020,12613117,41,41,2076051,494237
2024-04-13,TikTok Shop,12662019,14249528,29,58,2661488,802429
2024-04-13,Website,6045153,6505524,29,58,1506917,143436
2024-04-14,Shopee,18392734,20168359,70,70,4056364,922418
2024-04-14,Lazada,10106771,11309770,27,81,2745131,381048
2024-04-14,TikTok Shop,13907770,14907918,44,44,3168443,657820
2024-04-14,Website,6699444,7313010,16,48,1817423,438419
2024-04-15,Shopee,14886403,16764858,47,141,3803088,1077598
2024-04-15,Lazada,9288642,10241199,38,114,2325659,229301
2024-04-15,TikTok Shop,9097341,9654288,18,54,2458909,292292
2024-04-15,Website,5711350,6082504,11,22,1516070,265637
2024-04-16,Shopee,12866850,14432640,41,82,2433046,651352
2024-04-16,Lazada,8937838,9790000,39,117,1980111,481166
2024-04-16,TikTok Shop,8296535,9094975,16,32,2093448,363031
2024-04-16,Website,5539345,6229439,27,81,1037536,251607
2024-04-17,Shopee,13466654,14868753,57,57,3682568,325100
2024-04-17,Lazada,6060329,6382578,13,26,1199934,170451
2024-04-17,TikTok Shop,8055417,8759832,19,38,1811290,604373
2024-04-17,Website,3867851,4206538,9,27,1069130,280316
2024-04-18,Shopee,11569477,12904055,42,84,2219758,920593
2024-04-18,Lazada,8347804,9206661,20,60,2319625,585092
2024-04-18,TikTok Shop,11087577,12726865,52,104,2742512,583946
2024-04-18,Website,5169559,5624107,10,10,1058474,210761
2024-04-19,Shopee,18591268,19871240,53,159,4769571,407763
2024-04-19,Lazada,8341917,9271977,19,19,1702307,200518
2024-04-19,TikTok Shop,9721643,10641739,44,132,2433606,222826
2024-04-19,Website,6620672,7218033,29,29,1549078,432086
2024-04-20,Shopee,16278173,17320197,70,140,3311243,1220600
2024-04-20,Lazada,9964253,11037876,27,81,2609022,340919
2024-04-20,TikTok Shop,9193190,10559019,33,99,1857983,349618
2024-04-20,Website,6597679,7294868,28,84,1767989,492811
