ds,y
2024-09-11,35472176
2024-09-12,38740798
2024-09-13,52490572
2024-09-14,46332586
2024-09-15,50560519
2024-09-16,34772015
2024-09-17,40668470
2024-09-18,37583269
2024-09-19,40433629
2024-09-20,48318754
2024-09-21,50492614
2024-09-22,46651992
2024-09-23,34808991
2024-09-24,37218665
2024-09-25,37082599
2024-09-26,36927459
2024-09-27,48750989
2024-09-28,51854203
2024-09-29,47736814
2024-09-30,39508582
2024-10-01,36948791
2024-10-02,38629548
2024-10-03,38260130
2024-10-04,49929415
2024-10-05,51828939
2024-10-06,54957613
2024-10-07,40569870
2024-10-08,38901443
2024-10-09,38557744
2024-10-10,41023704
2024-10-11,51391448
2024-10-12,50086013
2024-10-13,45655146
2024-10-14,36706840
2024-10-15,38130175
2024-10-16,39988799
2024-10-17,33317197
2024-10-18,57261311
2024-10-19,53035273
2024-10-20,47876979
2024-10-21,33097746
2024-10-22,39687935
2024-10-23,35924307
2024-10-24,37045443
2024-10-25,46324765
2024-10-26,51646988
2024-10-27,49769545
2024-10-28,36805267
2024-10-29,35560149
2024-10-30,38315606
2024-10-31,37710337
2024-11-01,68430087
2024-11-02,68512038
2024-11-03,73379312
2024-11-04,57106364
2024-11-05,58989847
2024-11-06,50331037
2024-11-07,49599197
2024-11-08,69160595
2024-11-09,65810488
2024-11-10,73661133
2024-11-11,55052121
2024-11-12,50912063
2024-11-13,56330814
2024-11-14,53068304
2024-11-15,77451800
2024-11-16,72828905
2024-11-17,61505099
2024-11-18,51298899
2024-11-19,55098815
2024-11-20,56316621
2024-11-21,52786871
2024-11-22,70039140
2024-11-23,75215414
2024-11-24,73700664
2024-11-25,49882500
2024-11-26,55288949
2024-11-27,49514322
2024-11-28,56143176
2024-11-29,72480725
2024-11-30,67323200
2024-12-01,52457077
2024-12-02,36099717
2024-12-03,33528426
2024-12-04,37890808
2024-12-05,36535912
2024-12-06,50512067
2024-12-07,51892968
2024-12-08,49613238
2024-12-09,36668093
2024-12-10,39379967
2024-12-11,41840357
2024-12-12,43213404
2024-12-13,49811141
2024-12-14,54675395
2024-12-15,47885749
2024-12-16,39880961
2024-12-17,39078717
2024-12-18,40348523
2024-12-19,41914012
2024-12-20,54321011
2024-12-21,52071113
2024-12-22,48365250
2024-12-23,39455511
2024-12-24,39941956
2024-12-25,41624177
2024-12-26,40852497
2024-12-27,50593941
2024-12-28,55777213
2024-12-29,54474142
2024-12-30,43074869
2024-12-31,36899622
2025-01-01,62148440
2025-01-02,58437009
2025-01-03,75258042
2025-01-04,74417088
2025-01-05,82213469
2025-01-06,56535145
2025-01-07,59032715
2025-01-08,63231717
2025-01-09,68912453
2025-01-10,76312353
2025-01-11,78666266
2025-01-12,77291500
2025-01-13,54271002
2025-01-14,64129830
2025-01-15,61910017
2025-01-16,65594868
2025-01-17,71273084
2025-01-18,74669176
2025-01-19,70944531
2025-01-20,65105360
2025-01-21,57187835
2025-01-22,63087132
2025-01-23,56057886
2025-01-24,82307734
2025-01-25,71000791
2025-01-26,80355005
2025-01-27,55201637
2025-01-28,59219147
2025-01-29,55320720
2025-01-30,60270461
2025-01-31,80641730
2025-02-01,45670706
2025-02-02,49173448
2025-02-03,42744177
2025-02-04,39749510
2025-02-05,39510834
2025-02-06,38798303
2025-02-07,56583222
2025-02-08,52044157
2025-02-09,51308004
2025-02-10,44779396
2025-02-11,41209192
2025-02-12,39455859
2025-02-13,40990420
2025-02-14,54594020
2025-02-15,51162434
2025-02-16,59885766
2025-02-17,40440421
2025-02-18,41486483
2025-02-19,39138110
2025-02-20,40795510
2025-02-21,54307899
2025-02-22,52790507
2025-02-23,58655288
2025-02-24,40089715
2025-02-25,39241199
2025-02-26,41075729
2025-02-27,42051060
2025-02-28,50512641
2025-03-01,56275212
2025-03-02,56210098
2025-03-03,40640697
2025-03-04,37004219
2025-03-05,41986495
2025-03-06,42630002
2025-03-07,52113783
2025-03-08,55547298
2025-03-09,52239721
2025-03-10,40235199
2025-03-11,41281216
2025-03-12,41073790
2025-03-13,39028340
2025-03-14,51117379
2025-03-15,58147263
2025-03-16,56358706
2025-03-17,42263921
2025-03-18,42964273
2025-03-19,38034172
2025-03-20,38700080
2025-03-21,47997412
2025-03-22,50023702
2025-03-23,52678458
2025-03-24,41160730
2025-03-25,41020933
2025-03-26,42131103
2025-03-27,36896206
2025-03-28,50388685
2025-03-29,56955658
2025-03-30,46219564
2025-03-31,40172863
2025-04-01,41466621
2025-04-02,42124777
2025-04-03,42562763
2025-04-04,50860079
2025-04-05,49669122
2025-04-06,53861644
2025-04-07,43833234
2025-04-08,41079796
2025-04-09,44002209
2025-04-10,41752747
2025-04-11,57167239
2025-04-12,48514548
2025-04-13,57879955
2025-04-14,37270173
2025-04-15,42755711
2025-04-16,40896926
2025-04-17,41350967
2025-04-18,52234501
2025-04-19,56376773
2025-04-20,57490503
2025-04-21,38840338
2025-04-22,43660659
2025-04-23,40359661
2025-04-24,38923197
2025-04-25,48994799
2025-04-26,52679794
2025-04-27,57784889
2025-04-28,43235007
2025-04-29,44217455
2025-04-30,41911309
2025-05-01,42890001
2025-05-02,54810643
2025-05-03,51540517
2025-05-04,56154651
2025-05-05,43230200
2025-05-06,42510824
2025-05-07,41383360
2025-05-08,42914662
2025-05-09,57417619
2025-05-10,49937123
2025-05-11,59242816
2025-05-12,42976356
2025-05-13,46152604
2025-05-14,40144888
2025-05-15,39313989
2025-05-16,49794838
2025-05-17,53899124
2025-05-18,52830017
2025-05-19,39279502
2025-05-20,43419806
2025-05-21,40429402
2025-05-22,42335645
2025-05-23,61292637
2025-05-24,53191839
2025-05-25,51854709
2025-05-26,42032780
2025-05-27,42326106
2025-05-28,38245221
2025-05-29,42946180
2025-05-30,57357651
2025-05-31,50202801
2025-06-01,62685776
2025-06-02,41639004
2025-06-03,44315162
2025-06-04,39316514
2025-06-05,39216847
2025-06-06,57178678
2025-06-07,56760718
2025-06-08,53162377
2025-06-09,41778043
2025-06-10,41506640
2025-06-11,41757181
2025-06-12,42128820
2025-06-13,48465518
2025-06-14,61867575
2025-06-15,55229074
2025-06-16,45380039
2025-06-17,43608374
2025-06-18,41774993
2025-06-19,43485908
2025-06-20,53487224
2025-06-21,54195201
2025-06-22,53054645
2025-06-23,43977674
2025-06-24,42668963
2025-06-25,42373836
2025-06-26,44295608
2025-06-27,55757887
2025-06-28,55987470
2025-06-29,55832779
2025-06-30,38486972
2025-07-01,40940871
2025-07-02,44788374
2025-07-03,43238606
2025-07-04,59874563
2025-07-05,57489775
2025-07-06,53515305
2025-07-07,43668265
2025-07-08,45006388
2025-07-09,42615659
2025-07-10,45036287
2025-07-11,52742130
2025-07-12,51313058
2025-07-13,54661304
2025-07-14,45675054
2025-07-15,43960575
2025-07-16,44966710
2025-07-17,39104471
2025-07-18,53086812
2025-07-19,59147327
2025-07-20,56756792
2025-07-21,42444013
2025-07-22,39766255
2025-07-23,44587317
2025-07-24,40403945
2025-07-25,57252887
2025-07-26,61459138
2025-07-27,54450556
2025-07-28,45646404
2025-07-29,43894402
2025-07-30,51549882
2025-07-31,46507151
2025-08-01,59610376
2025-08-02,55540349
2025-08-03,61482933
2025-08-04,42521957
2025-08-05,45435726
2025-08-06,42190660
2025-08-07,44148212
2025-08-08,59507626
2025-08-09,51598626
2025-08-10,60536750
2025-08-11,45358368
2025-08-12,41026319
2025-08-13,38983526
2025-08-14,42354996
2025-08-15,55365396
2025-08-16,61762813
2025-08-17,53628612
2025-08-18,41448111
2025-08-19,42016449
2025-08-20,43398864
2025-08-21,39157285
2025-08-22,53872948
2025-08-23,54427571
2025-08-24,61719754
2025-08-25,46584542
2025-08-26,42586205
2025-08-27,45022183
2025-08-28,47064129
2025-08-29,55482571
2025-08-30,59590104
2025-08-31,57125951
2025-09-01,43007014
2025-09-02,47760393
2025-09-03,43843214
2025-09-04,39958900
2025-09-05,59099071
2025-09-06,57971975
2025-09-07,58562052
2025-09-08,45913563
2025-09-09,48818621
2025-09-10,42262416
2025-09-11,44284147
2025-09-12,61929533
2025-09-13,56968436
2025-09-14,54095586
2025-09-15,44079417
2025-09-16,45055270
2025-09-17,45752822
2025-09-18,46828894
2025-09-19,54039986
2025-09-20,58966716
2025-09-21,53362750
2025-09-22,48812213
2025-09-23,48034976
2025-09-24,47086086
2025-09-25,43741891
2025-09-26,59574593
2025-09-27,53664804
2025-09-28,61506998
2025-09-29,45326540
2025-09-30,47896324
2025-10-01,41056305
2025-10-02,41833693
2025-10-03,54201089
2025-10-04,58578062
2025-10-05,61381377
2025-10-06,50684188
2025-10-07,46983674
2025-10-08,44110076
2025-10-09,44818090
2025-10-10,57707010
2025-10-11,59115554
2025-10-12,52388858
2025-10-13,40929417
2025-10-14,48333337
2025-10-15,46103212
2025-10-16,45651328
2025-10-17,63264605
2025-10-18,61755039
2025-10-19,57893910
2025-10-20,49318241
2025-10-21,45474188
2025-10-22,46573813
2025-10-23,40495409
2025-10-24,60129895
2025-10-25,61365201
2025-10-26,58499318
2025-10-27,42088067
2025-10-28,44791852
2025-10-29,46590099
2025-10-30,42084114
2025-10-31,57273730
2025-11-01,84501232
2025-11-02,83528589
2025-11-03,64276193
2025-11-04,65648764
2025-11-05,67139157
2025-11-06,72015024
2025-11-07,86483348
2025-11-08,85205776
2025-11-09,79398864
2025-11-10,65908142
2025-11-11,67679685
2025-11-12,72812924
2025-11-13,65599565
2025-11-14,87746685
2025-11-15,88277682
2025-11-16,86618705
2025-11-17,55878693
2025-11-18,70244284
2025-11-19,61872590
2025-11-20,61631889
2025-11-21,85265023
2025-11-22,86716283
2025-11-23,79488758
2025-11-24,59672928
2025-11-25,63545473
2025-11-26,61736100
2025-11-27,59228253
2025-11-28,83221491
2025-11-29,78739120
2025-11-30,81123311
2025-12-01,49399555
2025-12-02,42815952
2025-12-03,46422845
2025-12-04,52484786
2025-12-05,60413172
2025-12-06,58983056
2025-12-07,64982784
2025-12-08,44165072
2025-12-09,48228649
2025-12-10,55149613
2025-12-11,46162379
2025-12-12,56779711
2025-12-13,57516368
2025-12-14,59567020
2025-12-15,46559907
2025-12-16,44755548
2025-12-17,44708855
2025-12-18,48326346
2025-12-19,52985272
2025-12-20,57213405
2025-12-21,50484654
2025-12-22,40790925
2025-12-23,44604741
2025-12-24,52291917
2025-12-25,44375395
2025-12-26,58863839
2025-12-27,55787216
2025-12-28,60733638
2025-12-29,48685950
2025-12-30,48314729
